,Participant,Condition,Congruity,Reaction_time,Response,Correctness,Cue,Finger
0,25,II,No,-4.24601297379,lalt,1.0,Middle,Index
1,25,II,Yes,0.460642814636,lalt,1.0,Middle,Middle
2,25,II,Yes,0.542954158783,lcmd,1.0,Index,Index
3,25,II,No,0.572762823105,lcmd,1.0,Index,Middle
4,25,II,Yes,0.478497886658,lalt,1.0,Middle,Middle
5,25,II,Yes,0.518869972229,lcmd,1.0,Index,Index
6,25,II,No,0.560144996643,lalt,1.0,Middle,Index
7,25,II,No,0.521069002151,lcmd,1.0,Index,Middle
8,25,II,No,0.488657999039,lalt,1.0,Middle,Index
9,25,II,Yes,0.544560003281,lcmd,1.0,Index,Index
10,25,II,No,0.386390018463,lcmd,1.0,Index,Middle
11,25,II,Yes,0.508596944809,lalt,1.0,Middle,Middle
12,25,II,Yes,0.579620981216,lcmd,1.0,Index,Index
13,25,II,No,0.428064918518,lalt,1.0,Middle,Index
14,25,II,No,0.63182682991,lcmd,1.0,Index,Middle
15,25,II,Yes,0.515087985992,lalt,1.0,Middle,Middle
16,25,II,Yes,0.492793989182,lcmd,1.0,Index,Index
17,25,II,No,0.517533016205,lcmd,1.0,Index,Middle
18,25,II,Yes,0.506117916107,lcmd,0.0,Middle,Middle
19,25,II,No,0.715792179108,lalt,1.0,Middle,Index
20,25,II,No,0.582522964478,lcmd,1.0,Index,Middle
21,25,II,No,0.579257822037,lalt,1.0,Middle,Index
22,25,II,Yes,0.502192926407,lalt,1.0,Middle,Middle
23,25,II,Yes,0.449002170563,lcmd,1.0,Index,Index
24,25,II,No,0.519969987869,lalt,1.0,Middle,Index
25,25,II,Yes,0.755246019363,lcmd,1.0,Index,Index
26,25,II,Yes,0.452692127228,lalt,1.0,Middle,Middle
27,25,II,No,0.530118894577,lcmd,1.0,Index,Middle
28,25,II,Yes,0.554423999786,lalt,1.0,Middle,Middle
29,25,II,No,0.68424706459,lcmd,1.0,Index,Middle
30,25,II,Yes,0.527254056931,lcmd,1.0,Index,Index
31,25,II,No,0.436481046677,lalt,1.0,Middle,Index
32,25,II,No,0.429646968842,lalt,1.0,Middle,Index
33,25,II,Yes,0.485485029221,lalt,1.0,Middle,Middle
34,25,II,No,0.588486051559,lcmd,1.0,Index,Middle
35,25,II,Yes,0.39460310936,lcmd,1.0,Index,Index
36,25,II,No,0.575560951233,lalt,1.0,Middle,Index
37,25,II,Yes,0.533333969116,lcmd,1.0,Index,Index
38,25,II,No,0.493442869186,lcmd,1.0,Index,Middle
39,25,II,Yes,0.490479135513,lalt,1.0,Middle,Middle
40,25,II,No,0.468475055695,lalt,1.0,Middle,Index
41,25,II,Yes,0.491941070557,lcmd,1.0,Index,Index
42,25,II,Yes,0.525677967071,lalt,1.0,Middle,Middle
43,25,II,No,0.590408086777,lalt,0.0,Index,Middle
44,25,II,Yes,1.068791008,lcmd,1.0,Index,Index
45,25,II,No,0.559980154037,lcmd,1.0,Index,Middle
46,25,II,Yes,0.571645927429,lalt,1.0,Middle,Middle
47,25,II,No,0.561935949326,lalt,1.0,Middle,Index
48,25,II,Yes,0.492782020569,lcmd,1.0,Index,Index
49,25,II,No,0.554295015335,lalt,1.0,Middle,Index
50,25,II,No,0.7816218853,lcmd,1.0,Index,Middle
51,25,II,Yes,0.454172897339,lalt,1.0,Middle,Middle
52,25,II,Yes,0.450394916534,lalt,1.0,Middle,Middle
53,25,II,Yes,0.527035188675,lcmd,1.0,Index,Index
54,25,II,No,0.477279090881,lcmd,1.0,Index,Middle
55,25,II,No,0.508011054993,lalt,1.0,Middle,Index
56,25,II,No,0.529481124878,lalt,1.0,Middle,Index
57,25,II,Yes,0.392181921005,lcmd,1.0,Index,Index
58,25,II,No,0.517422819138,lcmd,1.0,Index,Middle
59,25,II,Yes,0.658959007263,lalt,1.0,Middle,Middle
60,25,II,No,0.667730998993,lcmd,1.0,Index,Middle
61,25,II,Yes,0.661932086945,lcmd,1.0,Index,Index
62,25,II,Yes,0.518332958221,lalt,1.0,Middle,Middle
63,25,II,No,0.412016963959,lalt,1.0,Middle,Index
64,25,II,No,0.463860988617,lalt,1.0,Middle,Index
65,25,II,No,0.56299495697,lcmd,1.0,Index,Middle
66,25,II,Yes,0.5051030159,lcmd,1.0,Index,Index
67,25,II,Yes,0.447339963913,lalt,1.0,Middle,Middle
68,25,II,Yes,0.506213951111,lalt,1.0,Middle,Middle
69,25,II,No,0.550328969955,lcmd,1.0,Index,Middle
70,25,II,Yes,0.511896085739,lcmd,1.0,Index,Index
71,25,II,No,0.398584127426,lalt,1.0,Middle,Index
72,25,II,No,0.458871793747,lalt,1.0,Middle,Index
73,25,II,Yes,0.495464897156,lcmd,1.0,Index,Index
74,25,II,No,0.523245859146,lcmd,1.0,Index,Middle
75,25,II,Yes,0.685864973068,lalt,1.0,Middle,Middle
76,25,II,Yes,0.437075996399,lalt,1.0,Middle,Middle
77,25,II,Yes,0.51908788681,lcmd,1.0,Index,Index
78,25,II,No,0.520358991623,lcmd,1.0,Index,Middle
79,25,II,No,0.502327013016,lalt,1.0,Middle,Index
