participant,ID,tsis,score_FS,score_EC,score_PT,score_PD,feedback,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.d5fba384-8477-4ca3-84d8-bf92e278bc44.txt,4242,236372,"","","","","",2645,2018-11-14-12-20,"",""
s.0ad14b31-166b-4930-99fb-9b775a83d80f.txt,6425,438072,"","","","",24972,1186,2018-11-14-20-54,2018-11-14-21-02,8
s.e702ee9e-25f7-4d9f-a087-e1090658743e.txt,4048,253683,"","","","",14518,8499,2018-11-15-09-44,2018-11-15-09-49,5
s.61973b54-2b1d-400b-9089-0ac3e534a29b.txt,14156,158743,"","","","",13105,16512,2018-11-14-13-12,2018-11-14-13-16,4
s.f9ce0750-c18c-41ef-91ac-5efea8c6a098.txt,5594,241349,"","","","",17162,1883,2018-11-16-11-43,2018-11-16-11-48,5
s.8933a609-3248-4886-966f-69d4c245ac64.txt,14464,335528,"","","","","",13635,2018-11-14-14-53,"",""
s.7c21ab06-a668-4404-b8d4-f6dfce2e039e.txt,28434,314421,"","","","",66799,14848,2018-11-14-15-15,2018-11-14-15-22,7
s.74530958-73a4-46db-99ae-21d2dc8e4f96.txt,7079,275032,"","","","",6439,12496,2018-11-15-11-20,2018-11-15-11-24,4
s.3ca65494-a6d6-4fc9-b3f7-fc4727914ef9.txt,11755,470657,"","","","",2514790,43314,2018-11-14-17-55,2018-11-14-18-45,50
s.a6ec6a5f-1389-4946-977a-5f3ea0b6a8e7.txt,6315,223895,"","","","",5426,4199,2018-11-15-10-39,2018-11-15-10-43,4
s.1136a50b-8e0d-4c8e-9624-7f7ea569a155.txt,4357,202647,"","","","",28029,2015,2018-11-14-19-35,2018-11-14-19-39,4
s.4945c633-c925-450f-bc4f-7f6189a17a37.txt,7572,332692,"","","","",12302,2762,2018-11-14-21-31,2018-11-14-21-37,6
s.075e0421-5fac-4108-ae75-abc8e65112dc.txt,4649,24262,"","","","",2198,1467,2018-11-14-11-51,2018-11-14-11-52,1
s.d2e5f4c9-3234-40ca-a4f2-03620e1b9cf8.txt,4672,223990,"","","","",24257,2916,2018-11-14-20-07,2018-11-14-20-11,4
s.c42e857e-b0f9-4bf3-8231-9c75507aa46b.txt,4666,296846,"","","","",19244,8295,2018-11-15-14-42,2018-11-15-14-47,5
